
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000463                       # Number of seconds simulated (Second)
simTicks                                    463199500                       # Number of ticks simulated (Tick)
finalTick                                   463199500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     37.28                       # Real time elapsed on the host (Second)
hostTickRate                                 12423330                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1174132                       # Number of bytes of host memory used (Byte)
simInsts                                       253766                       # Number of instructions simulated (Count)
simOps                                         375006                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     6806                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      10058                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          919331                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              6.540023                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.152905                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         320824                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1698                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        524561                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   298                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               79131                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           130414                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                729                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             610231                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.859611                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.717221                       # Number of insts issued each cycle (Count)
system.mem_ctrls3.dram.perBankRdBursts::14         2105                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankRdBursts::15         2040                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::0            6                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::1            0                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::2            0                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::3            0                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::4            0                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::5            0                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::6            0                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::7            0                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::8            0                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::9            0                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::10            0                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::11            0                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::12            0                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::13           19                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::14           44                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.perBankWrBursts::15           27                       # Per bank write bursts (Count)
system.mem_ctrls3.dram.totQLat              703423750                       # Total ticks spent queuing (Tick)
system.mem_ctrls3.dram.totBusLat            162230000                       # Total ticks spent in databus transfers (Tick)
system.mem_ctrls3.dram.totMemAccLat        1311786250                       # Total ticks spent from burst creation until serviced by the DRAM (Tick)
system.mem_ctrls3.dram.avgQLat               21679.83                       # Average queueing delay per DRAM burst ((Tick/Count))
system.mem_ctrls3.dram.avgBusLat              5000.00                       # Average bus latency per DRAM burst ((Tick/Count))
system.mem_ctrls3.dram.avgMemAccLat          40429.83                       # Average memory access latency per DRAM burst ((Tick/Count))
system.mem_ctrls3.dram.readRowHits              30092                       # Number of row buffer hits during reads (Count)
system.mem_ctrls3.dram.writeRowHits                81                       # Number of row buffer hits during writes (Count)
system.mem_ctrls3.dram.readRowHitRate           92.74                       # Row buffer hit rate for reads (Ratio)
system.mem_ctrls3.dram.writeRowHitRate          84.38                       # Row buffer hit rate for writes (Ratio)
system.mem_ctrls3.dram.bytesPerActivate::samples         2363                       # Bytes accessed per row activation (Byte)
system.mem_ctrls3.dram.bytesPerActivate::mean   881.022429                       # Bytes accessed per row activation (Byte)
system.mem_ctrls3.dram.bytesPerActivate::gmean   748.216081                       # Bytes accessed per row activation (Byte)
system.mem_ctrls3.dram.bytesPerActivate::stdev   296.032010                       # Bytes accessed per row activation (Byte)
system.mem_ctrls3.dram.bytesPerActivate::0-127          157      6.64%      6.64% # Bytes accessed per row activation (Byte)
system.mem_ctrls3.dram.bytesPerActivate::128-255           75      3.17%      9.82% # Bytes accessed per row activation (Byte)
system.mem_ctrls3.dram.bytesPerActivate::256-383           38      1.61%     11.43% # Bytes accessed per row activation (Byte)
system.mem_ctrls3.dram.bytesPerActivate::384-511           26      1.10%     12.53% # Bytes accessed per row activation (Byte)
system.mem_ctrls3.dram.bytesPerActivate::512-639           21      0.89%     13.42% # Bytes accessed per row activation (Byte)
system.mem_ctrls3.dram.bytesPerActivate::640-767           30      1.27%     14.68% # Bytes accessed per row activation (Byte)
system.mem_ctrls3.dram.bytesPerActivate::768-895          212      8.97%     23.66% # Bytes accessed per row activation (Byte)
system.mem_ctrls3.dram.bytesPerActivate::896-1023           21      0.89%     24.55% # Bytes accessed per row activation (Byte)
system.mem_ctrls3.dram.bytesPerActivate::1024-1151         1783     75.45%    100.00% # Bytes accessed per row activation (Byte)
system.mem_ctrls3.dram.bytesPerActivate::total         2363                       # Bytes accessed per row activation (Byte)
system.mem_ctrls3.dram.dramBytesRead          2076544                       # Total bytes read (Byte)
system.mem_ctrls3.dram.dramBytesWritten          6144                       # Total bytes written (Byte)
system.mem_ctrls3.dram.avgRdBW            4483.044563                       # Average DRAM read bandwidth in MiBytes/s ((Byte/Second))
system.mem_ctrls3.dram.avgWrBW              13.264263                       # Average DRAM write bandwidth in MiBytes/s ((Byte/Second))
system.mem_ctrls3.dram.peakBW                12800.00                       # Theoretical peak bandwidth in MiByte/s ((Byte/Second))
system.mem_ctrls3.dram.busUtil                  35.13                       # Data bus utilization in percentage (Ratio)
system.mem_ctrls3.dram.busUtilRead              35.02                       # Data bus utilization in percentage for reads (Ratio)
system.mem_ctrls3.dram.busUtilWrite              0.10                       # Data bus utilization in percentage for writes (Ratio)
system.mem_ctrls3.dram.pageHitRate              92.72                       # Row buffer hit rate, read and write combined (Ratio)
system.mem_ctrls3.dram.power_state.pwrStateResidencyTicks::UNDEFINED    463199500                       # Cumulative time (in ticks) in various power states (Tick)
system.mem_ctrls3.dram.rank0.actEnergy        8075340                       # Energy for activate commands per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank0.preEnergy        4284555                       # Energy for precharge commands per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank0.readEnergy     114904020                       # Energy for read commands per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank0.writeEnergy        31320                       # Energy for write commands per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank0.refreshEnergy 36263760.000000                       # Energy for refresh commands per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank0.actBackEnergy    165262380                       # Energy for active background per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank0.preBackEnergy     38700480                       # Energy for precharge background per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank0.actPowerDownEnergy            0                       # Energy for active power-down per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank0.prePowerDownEnergy            0                       # Energy for precharge power-down per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank0.selfRefreshEnergy            0                       # Energy for self refresh per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank0.totalEnergy    367521855                       # Total energy per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank0.averagePower   793.441822                       # Core power per rank (mW) (Watt)
system.mem_ctrls3.dram.rank0.totalIdleTime            0                       # Total Idle time Per DRAM Rank (Tick)
system.mem_ctrls3.dram.rank0.pwrStateTime::IDLE     96890750                       # Time in different power states (Tick)
system.mem_ctrls3.dram.rank0.pwrStateTime::REF     15340000                       # Time in different power states (Tick)
system.mem_ctrls3.dram.rank0.pwrStateTime::SREF            0                       # Time in different power states (Tick)
system.mem_ctrls3.dram.rank0.pwrStateTime::PRE_PDN            0                       # Time in different power states (Tick)
system.mem_ctrls3.dram.rank0.pwrStateTime::ACT    350968750                       # Time in different power states (Tick)
system.mem_ctrls3.dram.rank0.pwrStateTime::ACT_PDN            0                       # Time in different power states (Tick)
system.mem_ctrls3.dram.rank1.actEnergy        8839320                       # Energy for activate commands per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank1.preEnergy        4683030                       # Energy for precharge commands per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank1.readEnergy     116760420                       # Energy for read commands per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank1.writeEnergy       469800                       # Energy for write commands per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank1.refreshEnergy 36263760.000000                       # Energy for refresh commands per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank1.actBackEnergy    168413340                       # Energy for active background per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank1.preBackEnergy     36047040                       # Energy for precharge background per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank1.actPowerDownEnergy            0                       # Energy for active power-down per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank1.prePowerDownEnergy            0                       # Energy for precharge power-down per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank1.selfRefreshEnergy            0                       # Energy for self refresh per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank1.totalEnergy    371476710                       # Total energy per rank (pJ) (Joule)
system.mem_ctrls3.dram.rank1.averagePower   801.979946                       # Core power per rank (mW) (Watt)
system.mem_ctrls3.dram.rank1.totalIdleTime            0                       # Total Idle time Per DRAM Rank (Tick)
system.mem_ctrls3.dram.rank1.pwrStateTime::IDLE     89939250                       # Time in different power states (Tick)
system.mem_ctrls3.dram.rank1.pwrStateTime::REF     15340000                       # Time in different power states (Tick)
system.mem_ctrls3.dram.rank1.pwrStateTime::SREF            0                       # Time in different power states (Tick)
system.mem_ctrls3.dram.rank1.pwrStateTime::PRE_PDN            0                       # Time in different power states (Tick)
system.mem_ctrls3.dram.rank1.pwrStateTime::ACT    357920250                       # Time in different power states (Tick)
system.mem_ctrls3.dram.rank1.pwrStateTime::ACT_PDN            0                       # Time in different power states (Tick)
system.mem_ctrls3.power_state.pwrStateResidencyTicks::UNDEFINED    463199500                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.delayHistogram::bucket_size            32                       # delay histogram for all message (Unspecified)
system.ruby.delayHistogram::max_bucket            319                       # delay histogram for all message (Unspecified)
system.ruby.delayHistogram::samples            928564                       # delay histogram for all message (Unspecified)
system.ruby.delayHistogram::mean            11.675211                       # delay histogram for all message (Unspecified)
system.ruby.delayHistogram::stdev           11.504729                       # delay histogram for all message (Unspecified)
system.ruby.delayHistogram               |      866163     93.28%     93.28% |       57451      6.19%     99.47% |        4497      0.48%     99.95% |         398      0.04%     99.99% |          44      0.00%    100.00% |           5      0.00%    100.00% |           6      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% # delay histogram for all message (Unspecified)
system.ruby.delayHistogram::total              928564                       # delay histogram for all message (Unspecified)
system.ruby.m_outstandReqHistSeqr::bucket_size            2                       (Unspecified)
system.ruby.m_outstandReqHistSeqr::max_bucket           19                       (Unspecified)
system.ruby.m_outstandReqHistSeqr::samples       240641                       (Unspecified)
system.ruby.m_outstandReqHistSeqr::mean     10.070312                       (Unspecified)
system.ruby.m_outstandReqHistSeqr::gmean     6.664798                       (Unspecified)
system.ruby.m_outstandReqHistSeqr::stdev     6.549969                       (Unspecified)
system.ruby.m_outstandReqHistSeqr        |       34093     14.17%     14.17% |       44464     18.48%     32.64% |       11909      4.95%     37.59% |        6969      2.90%     40.49% |        5511      2.29%     42.78% |        5102      2.12%     44.90% |        4938      2.05%     46.95% |       13439      5.58%     52.54% |      114216     47.46%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.m_outstandReqHistSeqr::total       240641                       (Unspecified)
system.ruby.m_latencyHistSeqr::bucket_size          128                       (Unspecified)
system.ruby.m_latencyHistSeqr::max_bucket         1279                       (Unspecified)
system.ruby.m_latencyHistSeqr::samples         240893                       (Unspecified)
system.ruby.m_latencyHistSeqr::mean        135.078649                       (Unspecified)
system.ruby.m_latencyHistSeqr::gmean        19.608696                       (Unspecified)
system.ruby.m_latencyHistSeqr::stdev       136.229472                       (Unspecified)
system.ruby.m_latencyHistSeqr            |      110909     46.04%     46.04% |       88771     36.85%     82.89% |       38546     16.00%     98.89% |         478      0.20%     99.09% |         115      0.05%     99.14% |         977      0.41%     99.54% |        1046      0.43%     99.98% |          51      0.02%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.m_latencyHistSeqr::total           240893                       (Unspecified)
system.ruby.m_hitLatencyHistSeqr::bucket_size           64                       (Unspecified)
system.ruby.m_hitLatencyHistSeqr::max_bucket          639                       (Unspecified)
system.ruby.m_hitLatencyHistSeqr::samples       110056                       (Unspecified)
system.ruby.m_hitLatencyHistSeqr::mean       1.017155                       (Unspecified)
system.ruby.m_hitLatencyHistSeqr::gmean      1.001833                       (Unspecified)
system.ruby.m_hitLatencyHistSeqr::stdev      2.269458                       (Unspecified)
system.ruby.m_hitLatencyHistSeqr         |      110049     99.99%     99.99% |           0      0.00%     99.99% |           5      0.00%    100.00% |           1      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           1      0.00%    100.00% (Unspecified)
system.ruby.m_hitLatencyHistSeqr::total        110056                       (Unspecified)
system.ruby.m_missLatencyHistSeqr::bucket_size          128                       (Unspecified)
system.ruby.m_missLatencyHistSeqr::max_bucket         1279                       (Unspecified)
system.ruby.m_missLatencyHistSeqr::samples       130837                       (Unspecified)
system.ruby.m_missLatencyHistSeqr::mean    247.846993                       (Unspecified)
system.ruby.m_missLatencyHistSeqr::gmean   239.302440                       (Unspecified)
system.ruby.m_missLatencyHistSeqr::stdev    79.562905                       (Unspecified)
system.ruby.m_missLatencyHistSeqr        |         860      0.66%      0.66% |       88765     67.84%     68.50% |       38546     29.46%     97.96% |         478      0.37%     98.33% |         114      0.09%     98.41% |         977      0.75%     99.16% |        1046      0.80%     99.96% |          51      0.04%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.m_missLatencyHistSeqr::total       130837                       (Unspecified)
system.ruby.delayVCHist.vnet_0::bucket_size           32                       # delay histogram for vnet_0 (Unspecified)
system.ruby.delayVCHist.vnet_0::max_bucket          319                       # delay histogram for vnet_0 (Unspecified)
system.ruby.delayVCHist.vnet_0::samples        353076                       # delay histogram for vnet_0 (Unspecified)
system.ruby.delayVCHist.vnet_0::mean         9.806662                       # delay histogram for vnet_0 (Unspecified)
system.ruby.delayVCHist.vnet_0::gmean        8.329184                       # delay histogram for vnet_0 (Unspecified)
system.ruby.delayVCHist.vnet_0::stdev        7.207457                       # delay histogram for vnet_0 (Unspecified)
system.ruby.delayVCHist.vnet_0           |      342339     96.96%     96.96% |       10539      2.98%     99.94% |         178      0.05%     99.99% |          14      0.00%    100.00% |           2      0.00%    100.00% |           0      0.00%    100.00% |           4      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% # delay histogram for vnet_0 (Unspecified)
system.ruby.delayVCHist.vnet_0::total          353076                       # delay histogram for vnet_0 (Unspecified)
system.ruby.delayVCHist.vnet_1::bucket_size           32                       # delay histogram for vnet_1 (Unspecified)
system.ruby.delayVCHist.vnet_1::max_bucket          319                       # delay histogram for vnet_1 (Unspecified)
system.ruby.delayVCHist.vnet_1::samples        561178                       # delay histogram for vnet_1 (Unspecified)
system.ruby.delayVCHist.vnet_1::mean        12.959833                       # delay histogram for vnet_1 (Unspecified)
system.ruby.delayVCHist.vnet_1::stdev       13.475452                       # delay histogram for vnet_1 (Unspecified)
system.ruby.delayVCHist.vnet_1           |      509517     90.79%     90.79% |       46909      8.36%     99.15% |        4319      0.77%     99.92% |         384      0.07%     99.99% |          42      0.01%    100.00% |           5      0.00%    100.00% |           2      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% # delay histogram for vnet_1 (Unspecified)
system.ruby.delayVCHist.vnet_1::total          561178                       # delay histogram for vnet_1 (Unspecified)
system.ruby.delayVCHist.vnet_2::bucket_size            4                       # delay histogram for vnet_2 (Unspecified)
system.ruby.delayVCHist.vnet_2::max_bucket           39                       # delay histogram for vnet_2 (Unspecified)
system.ruby.delayVCHist.vnet_2::samples         14310                       # delay histogram for vnet_2 (Unspecified)
system.ruby.delayVCHist.vnet_2::mean         7.401188                       # delay histogram for vnet_2 (Unspecified)
system.ruby.delayVCHist.vnet_2::stdev        4.086764                       # delay histogram for vnet_2 (Unspecified)
system.ruby.delayVCHist.vnet_2           |        1041      7.27%      7.27% |        7287     50.92%     58.20% |        4232     29.57%     87.77% |         998      6.97%     94.74% |         586      4.10%     98.84% |         133      0.93%     99.77% |          21      0.15%     99.92% |           9      0.06%     99.98% |           3      0.02%    100.00% |           0      0.00%    100.00% # delay histogram for vnet_2 (Unspecified)
system.ruby.delayVCHist.vnet_2::total           14310                       # delay histogram for vnet_2 (Unspecified)
system.ruby.Directory_Controller.Fetch   |       32427     24.99%     24.99% |       32430     25.00%     49.99% |       32422     24.99%     74.98% |       32456     25.02%    100.00% (Unspecified)
system.ruby.Directory_Controller.Fetch::total       129735                       (Unspecified)
system.ruby.Directory_Controller.Data    |         109     24.72%     24.72% |         108     24.49%     49.21% |         109     24.72%     73.92% |         115     26.08%    100.00% (Unspecified)
system.ruby.Directory_Controller.Data::total          441                       (Unspecified)
system.ruby.Directory_Controller.Memory_Data |       32427     24.99%     24.99% |       32430     25.00%     49.99% |       32422     24.99%     74.98% |       32456     25.02%    100.00% (Unspecified)
system.ruby.Directory_Controller.Memory_Data::total       129735                       (Unspecified)
system.ruby.Directory_Controller.Memory_Ack |         109     24.72%     24.72% |         108     24.49%     49.21% |         109     24.72%     73.92% |         115     26.08%    100.00% (Unspecified)
system.ruby.Directory_Controller.Memory_Ack::total          441                       (Unspecified)
system.ruby.Directory_Controller.CleanReplacement |       15951     25.02%     25.02% |       15941     25.00%     50.02% |       15939     25.00%     75.01% |       15933     24.99%    100.00% (Unspecified)
system.ruby.Directory_Controller.CleanReplacement::total        63764                       (Unspecified)
system.ruby.Directory_Controller.I.Fetch |       32427     24.99%     24.99% |       32430     25.00%     49.99% |       32422     24.99%     74.98% |       32456     25.02%    100.00% (Unspecified)
system.ruby.Directory_Controller.I.Fetch::total       129735                       (Unspecified)
system.ruby.Directory_Controller.M.Data  |         109     24.72%     24.72% |         108     24.49%     49.21% |         109     24.72%     73.92% |         115     26.08%    100.00% (Unspecified)
system.ruby.Directory_Controller.M.Data::total          441                       (Unspecified)
system.ruby.Directory_Controller.M.CleanReplacement |       15951     25.02%     25.02% |       15941     25.00%     50.02% |       15939     25.00%     75.01% |       15933     24.99%    100.00% (Unspecified)
system.ruby.Directory_Controller.M.CleanReplacement::total        63764                       (Unspecified)
system.ruby.Directory_Controller.IM.Memory_Data |       32427     24.99%     24.99% |       32430     25.00%     49.99% |       32422     24.99%     74.98% |       32456     25.02%    100.00% (Unspecified)
system.ruby.Directory_Controller.IM.Memory_Data::total       129735                       (Unspecified)
system.ruby.Directory_Controller.MI.Memory_Ack |         109     24.72%     24.72% |         108     24.49%     49.21% |         109     24.72%     73.92% |         115     26.08%    100.00% (Unspecified)
system.ruby.Directory_Controller.MI.Memory_Ack::total          441                       (Unspecified)
system.ruby.L0Cache_Controller.Load      |       55521     35.65%     35.65% |       33417     21.46%     57.11% |       33351     21.42%     78.53% |       33435     21.47%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.Load::total       155724                       (Unspecified)
system.ruby.L0Cache_Controller.Ifetch    |       32794     50.38%     50.38% |       10809     16.61%     66.99% |       10673     16.40%     83.38% |       10817     16.62%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.Ifetch::total        65093                       (Unspecified)
system.ruby.L0Cache_Controller.Store     |       18036     89.84%     89.84% |         689      3.43%     93.27% |         672      3.35%     96.62% |         679      3.38%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.Store::total        20076                       (Unspecified)
system.ruby.L0Cache_Controller.InvOwn    |         208     50.12%     50.12% |          55     13.25%     63.37% |         103     24.82%     88.19% |          49     11.81%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.InvOwn::total          415                       (Unspecified)
system.ruby.L0Cache_Controller.InvElse   |         378     60.38%     60.38% |          89     14.22%     74.60% |          64     10.22%     84.82% |          95     15.18%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.InvElse::total          626                       (Unspecified)
system.ruby.L0Cache_Controller.L0_Replacement |       32956     25.98%     25.98% |       31310     24.68%     50.65% |       31304     24.67%     75.33% |       31305     24.67%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.L0_Replacement::total       126875                       (Unspecified)
system.ruby.L0Cache_Controller.Data      |          89      9.81%      9.81% |         253     27.89%     37.71% |         284     31.31%     69.02% |         281     30.98%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.Data::total          907                       (Unspecified)
system.ruby.L0Cache_Controller.Data_Exclusive |       34395     26.47%     26.47% |       31865     24.52%     51.00% |       31840     24.51%     75.50% |       31830     24.50%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.Data_Exclusive::total       129930                       (Unspecified)
system.ruby.L0Cache_Controller.I.Load    |       32083     25.18%     25.18% |       31772     24.94%     50.12% |       31768     24.94%     75.06% |       31769     24.94%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.I.Load::total       127392                       (Unspecified)
system.ruby.L0Cache_Controller.I.Ifetch  |        1967     71.87%     71.87% |         253      9.24%     81.11% |         267      9.76%     90.87% |         250      9.13%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.I.Ifetch::total         2737                       (Unspecified)
system.ruby.L0Cache_Controller.I.Store   |         420     65.22%     65.22% |          76     11.80%     77.02% |          74     11.49%     88.51% |          74     11.49%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.I.Store::total          644                       (Unspecified)
system.ruby.L0Cache_Controller.I.InvOwn  |           0      0.00%      0.00% |          10     32.26%     32.26% |          10     32.26%     64.52% |          11     35.48%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.I.InvOwn::total           31                       (Unspecified)
system.ruby.L0Cache_Controller.I.InvElse |           2     33.33%     33.33% |           1     16.67%     50.00% |           2     33.33%     83.33% |           1     16.67%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.I.InvElse::total            6                       (Unspecified)
system.ruby.L0Cache_Controller.S.Load    |          98     34.51%     34.51% |          62     21.83%     56.34% |          61     21.48%     77.82% |          63     22.18%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.S.Load::total          284                       (Unspecified)
system.ruby.L0Cache_Controller.S.Ifetch  |        9992     24.10%     24.10% |       10518     25.37%     49.47% |       10397     25.08%     74.55% |       10552     25.45%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.S.Ifetch::total        41459                       (Unspecified)
system.ruby.L0Cache_Controller.S.Store   |          14     21.88%     21.88% |          17     26.56%     48.44% |          15     23.44%     71.88% |          18     28.12%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.S.Store::total           64                       (Unspecified)
system.ruby.L0Cache_Controller.S.InvOwn  |          14      7.41%      7.41% |          44     23.28%     30.69% |          93     49.21%     79.89% |          38     20.11%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.S.InvOwn::total          189                       (Unspecified)
system.ruby.L0Cache_Controller.S.InvElse |          18     20.45%     20.45% |          11     12.50%     32.95% |          11     12.50%     45.45% |          48     54.55%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.S.InvElse::total           88                       (Unspecified)
system.ruby.L0Cache_Controller.S.L0_Replacement |          15     30.00%     30.00% |          11     22.00%     52.00% |          12     24.00%     76.00% |          12     24.00%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.S.L0_Replacement::total           50                       (Unspecified)
system.ruby.L0Cache_Controller.E.Load    |        6055     63.91%     63.91% |        1157     12.21%     76.12% |        1092     11.53%     87.64% |        1171     12.36%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.E.Load::total         9475                       (Unspecified)
system.ruby.L0Cache_Controller.E.Ifetch  |       20835     99.70%     99.70% |          38      0.18%     99.89% |           9      0.04%     99.93% |          15      0.07%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.E.Ifetch::total        20897                       (Unspecified)
system.ruby.L0Cache_Controller.E.Store   |          75     78.95%     78.95% |           6      6.32%     85.26% |           8      8.42%     93.68% |           6      6.32%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.E.Store::total           95                       (Unspecified)
system.ruby.L0Cache_Controller.E.InvOwn  |         194     99.49%     99.49% |           1      0.51%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.E.InvOwn::total          195                       (Unspecified)
system.ruby.L0Cache_Controller.E.InvElse |         308     78.77%     78.77% |          48     12.28%     91.05% |          23      5.88%     96.93% |          12      3.07%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.E.InvElse::total          391                       (Unspecified)
system.ruby.L0Cache_Controller.E.L0_Replacement |       32558     25.76%     25.76% |       31283     24.75%     50.51% |       31277     24.75%     75.25% |       31278     24.75%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.E.L0_Replacement::total       126396                       (Unspecified)
system.ruby.L0Cache_Controller.M.Load    |       17285     93.07%     93.07% |         426      2.29%     95.36% |         430      2.32%     97.67% |         432      2.33%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.M.Load::total        18573                       (Unspecified)
system.ruby.L0Cache_Controller.M.Store   |       17527     90.94%     90.94% |         590      3.06%     94.00% |         575      2.98%     96.99% |         581      3.01%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.M.Store::total        19273                       (Unspecified)
system.ruby.L0Cache_Controller.M.InvElse |          48     38.71%     38.71% |          23     18.55%     57.26% |          25     20.16%     77.42% |          28     22.58%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.M.InvElse::total          124                       (Unspecified)
system.ruby.L0Cache_Controller.M.L0_Replacement |         383     89.28%     89.28% |          16      3.73%     93.01% |          15      3.50%     96.50% |          15      3.50%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.M.L0_Replacement::total          429                       (Unspecified)
system.ruby.L0Cache_Controller.Inst_IS.Data |          59      7.94%      7.94% |         206     27.73%     35.67% |         242     32.57%     68.24% |         236     31.76%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.Inst_IS.Data::total          743                       (Unspecified)
system.ruby.L0Cache_Controller.Inst_IS.Data_Exclusive |        1908     95.69%     95.69% |          47      2.36%     98.04% |          25      1.25%     99.30% |          14      0.70%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.Inst_IS.Data_Exclusive::total         1994                       (Unspecified)
